FID,RMSTRAFFIC,ST_RT_NO,CTY_CODE,DISTRICT_N,JURIS,SEG_BGN,OFFSET_BGN,SEG_END,OFFSET_END,SEG_PT_BGN,SEG_PT_END,SEG_LNGTH_,SEQ_NO,CUR_AADT,ADTT_CUR,TRK_PCT,WKDY_TRK_C,ADLR_TRK_C,ADLF_TRK_C,BASE_YR_CL,BASE_ADT,ADTT_BASE,WKDY_TRK_B,ADLR_TRK_B,ADLF_TRK_B,BASE_ADT_Y,DLY_VMT,DLY_TRK_VM,K_FACTOR,D_FACTOR,T_FACTOR,VOL_CNT_KE,VOL_CNT_DA,RAW_CNT_HI,TRAFF_PATT,DUR_CLS_CN,TYPE_OF_CN,DIR_IND,MSLINK,MAPID,NLF_ID,SIDE_IND,NLF_CNTL_B,NLF_CNTL_E,CUM_OFFSET,CUM_OFFS_1,RECORD_UPD,GIS_UPDATE,GIS_GEOMET,GPID,GEOMETRY_L
2088,02102802900000029024011,1028,2,11,1,290,0,290,2401,2900000,2902401,2401.0,17,9311,186,2,238,118,90,2019,9311,186,238,118,90,2019,4237,85,11,75,1,02102802900100,20190822,2019243,05,24,3,B,151016,102278,273,1,69566,71967.0,69566.0,71967.0,20200105,2020-01-05,2019-07-21,12319,966.2613227
2139,02102802801045028020791,1028,2,11,1,280,1045,280,2079,2801045,2802079,1034.0,15,5399,378,7,484,509,326,2019,5399,378,484,509,326,2019,1058,74,9,57,4,02102802801700,20190822,2019259,05,24,3,E,157181,102278,273,1,68101,69135.0,68101.0,69135.0,20200105,2020-01-05,2019-07-21,10622,413.0285966
2190,02037604930000050116481,0376,2,11,1,493,0,501,1648,4930000,5011648,6161.0,1,20074,1280,6,1638,1435,994,2019,20074,1280,1638,1435,994,2019,23426,1494,9,67,4,04037604910015,20191119,2019345,01,24,2,W,154399,102278,66093,2,0,6161.0,0.0,6161.0,20191215,2019-12-15,2019-07-21,11057,2445.5200760000002
2198,02204001401203017000001,2040,2,11,1,140,1203,170,0,1401203,1700000,3787.0,2,12448,673,5,861,570,415,2019,12448,673,861,570,415,2019,8925,483,10,55,2,02204001502000,20190718,2019336,03,6,1,E,155664,102278,330,1,3373,7160.0,30712.0,34499.0,20191208,2019-12-08,2019-11-05,11080,1521.8717800000002
2199,02083700102565006004351,0837,2,11,1,10,2565,60,435,102565,600435,8586.0,2,7573,942,12,1206,807,575,2019,7573,942,1206,807,575,2019,12314,1532,9,60,9,02083700200000,20190724,2019228,05,24,2,B,0,102278,206,1,2565,11151.0,2565.0,11151.0,20190818,2019-08-18,2019-08-18,629493,3440.254901
2200,02005101302750017000301,0051,2,11,1,130,2750,170,30,1302750,1700030,8366.0,8,12077,761,6,974,518,382,2019,12077,761,974,518,382,2019,19130,1205,8,59,7,02005101502000,20190917,2019317,03,24,2,N,188523,102278,161,1,35605,43971.0,35605.0,43971.0,20191117,2019-11-17,2019-07-21,11081,3332.518706
2303,02027900521170006625871,0279,2,11,1,52,1170,66,2587,521170,662587,9337.0,6,39401,1960,5,2509,1532,1091,2016,38555,1918,2455,1506,1072,2016,69661,3465,9,58,2,02027900631250,20191118,2019004,01,24,2,N,150366,102278,66091,1,27572,36909.0,27572.0,36909.0,20191215,2019-12-15,2019-10-20,190,3734.294754
2312,02037605000903053001991,0376,2,11,1,500,903,530,199,5000903,5300199,15135.0,2,13979,793,6,1015,1010,678,2019,13979,793,1015,1010,678,2019,40064,2273,9,66,3,02037605140500,20191113,2019345,01,24,2,E,150917,102278,66092,1,5269,20404.0,5269.0,20404.0,20191215,2019-12-15,2019-11-05,434,6069.364184
2318,02H87800100000002045405,H878,2,11,5,10,0,20,4540,100000,204540,5490.0,1,1846,55,3,70,15,14,2019,1846,55,70,15,14,2019,1920,57,11,55,2,02H87800200001,20191105,2019344,05,24,3,B,181456,102278,13032,1,0,5490.0,0.0,5490.0,20191215,2019-12-15,2019-07-21,463,2211.351475
2319,02005001410000015115651,0050,2,11,1,141,0,151,1565,1410000,1511565,4149.0,1,17910,1453,8,1860,1387,1001,2019,17910,1453,1860,1387,1001,2019,14077,1142,7,50,5,02005001511468,20190930,2019345,03,24,2,W,159898,102278,160,2,0,4149.0,23367.0,27516.0,20191222,2019-12-22,2019-11-05,464,1661.127358
2322,02405200710000007104121,4052,2,11,1,71,0,71,412,710000,710412,412.0,1,3571,107,3,137,57,45,2019,3571,107,137,57,45,2019,279,8,11,80,2,02405200601000,20190919,2019317,05,24,3,W,120143,102278,640,2,0,412.0,0.0,412.0,20191117,2019-11-17,2019-07-21,478,161.22910080000003
2335,02204900300000003019911,2049,2,11,1,30,0,30,1991,300000,301991,1991.0,2,4204,210,5,269,128,98,2019,4204,210,269,128,98,2019,1585,79,11,55,3,02204900301045,20190807,2019229,05,24,3,B,0,102278,345,1,6076,8067.0,6076.0,8067.0,20190818,2019-08-18,2019-07-21,55109,792.8535443
2352,02207300700000011030171,2073,2,11,1,70,0,110,3017,700000,1103017,5071.0,3,8658,632,7,809,458,338,2019,8658,632,809,458,338,2019,8312,607,7,55,8,02207300700385,20190925,2019281,03,24,2,B,48198,102278,375,1,11250,16321.0,11250.0,16321.0,20191013,2019-10-13,2019-07-21,486,2037.8244359999999
2433,02204001111200011119391,2040,2,11,1,111,1200,111,1939,1111200,1111939,739.0,4,3549,332,9,425,554,373,2019,3549,332,425,554,373,2019,497,46,10,55,4,02204001111500,20190731,2019340,03,6,1,W,148237,102278,331,2,13989,14728.0,13989.0,14728.0,20191208,2019-12-08,2019-07-21,249,284.7274269
2446,02006501800000020010801,0065,2,11,1,180,0,200,1080,1800000,2001080,7949.0,8,14064,1213,9,1553,811,601,2019,14064,1213,1553,811,601,2019,21166,1826,8,55,9,02006501802800,20191015,2019317,03,24,2,N,47499,102278,77014,1,46063,54012.0,50915.0,58864.0,20191117,2019-11-17,2019-07-21,537,3183.124022
2452,02005002402365028000001,0050,2,11,1,240,2365,280,0,2402365,2800000,6851.0,20,6237,288,5,369,232,171,2019,6237,288,369,232,171,2019,8096,374,9,53,5,02005002600242,20190912,2019277,05,24,2,B,148324,102278,158,1,52039,58890.0,52039.0,58890.0,20200105,2020-01-05,2019-12-22,768,2622.7418
2489,02003001901715021006301,0030,2,11,1,190,1715,210,630,1901715,2100630,4738.0,2,15672,813,5,1041,906,630,2019,15672,813,1041,906,630,2019,14058,729,7,60,6,02003002100258,20191003,2019340,03,24,2,E,148316,102278,153,1,4658,9396.0,44007.0,48745.0,20191208,2019-12-08,2019-07-21,297,1900.403986
2508,02005104910000049115951,0051,2,11,1,491,0,491,1595,4910000,4911595,1595.0,1,4474,201,4,257,156,114,2019,4474,201,257,156,114,2019,1351,61,9,51,2,02005104910375,20191002,2019317,03,24,2,S,163860,102278,70980,2,0,1595.0,108253.0,109848.0,20191117,2019-11-17,2019-07-21,48,644.5268732000001
2529,02303400901735009025771,3034,2,11,1,90,1735,90,2577,901735,902577,842.0,3,11007,110,1,141,66,51,2019,11007,110,141,66,51,2019,1750,17,11,55,1,02303400902069,20190711,2019214,05,24,3,B,148249,102278,56962,1,14856,15698.0,18626.0,19468.0,20190811,2019-08-11,2019-07-21,1017,348.2672063
2534,02404300800000010024101,4043,2,11,1,80,0,100,2410,800000,1002410,6636.0,2,6173,174,3,223,229,159,2019,6173,174,223,229,159,2019,7759,219,10,62,1,02404301000100,20190918,2019317,05,24,2,B,0,102278,629,1,2156,8792.0,14179.0,20815.0,20191117,2019-11-17,2019-11-05,52216,2698.645977
2624,02406800130000001304831,4068,2,11,1,13,0,13,483,130000,130483,483.0,1,3038,152,5,195,94,72,2019,3038,152,195,94,72,2019,276,14,11,55,3,02406800300000,20190829,2019250,05,24,3,W,186618,102278,77796,2,0,483.0,0.0,483.0,20190908,2019-09-08,2019-07-21,2650,203.9378701
2625,02406900100000001020601,4069,2,11,1,10,0,10,2060,100000,102060,2060.0,1,4593,138,3,177,47,41,2019,4593,138,177,47,41,2019,1791,54,11,65,2,02406900100528,20190827,2019259,05,24,3,B,186619,102278,658,1,0,2060.0,0.0,2060.0,20190922,2019-09-22,2019-07-21,2651,824.7679362000001
2633,02308900040000002006101,3089,2,11,1,4,0,20,610,40000,200610,8538.0,1,10,0,9,0,0,0,2019,10,1,1,0,0,2019,16,0,36,75,0,02308900200000,20190718,2019284,09,24,2,B,140477,102278,541,1,0,8538.0,0.0,8538.0,20200105,2020-01-05,2019-11-05,794,3491.408505
2736,02100600903119012000001,1006,2,11,1,90,3119,120,0,903119,1200000,4943.0,5,4309,259,6,332,338,218,2019,4309,259,332,338,218,2019,4033,242,11,55,3,02100601002670,20190821,2019259,05,24,3,B,128239,102278,241,1,15366,20309.0,25036.0,29979.0,20190922,2019-09-22,2019-07-21,1342,1973.3594480000002
2790,02000803011915031130451,0008,2,11,1,301,1915,311,3045,3011915,3113045,4122.0,6,2716,182,7,233,90,71,2019,2716,182,233,90,71,2019,2121,142,10,55,3,02000803110741,20190729,2019336,03,6,1,S,144018,102278,81038,2,27773,31895.0,52691.0,56813.0,20191222,2019-12-22,2019-12-22,804,1662.234183
2822,02006501300487014004601,0065,2,11,1,130,487,140,460,1300487,1400460,2117.0,6,15682,754,5,965,482,363,2019,15682,754,965,482,363,2019,6288,302,9,53,3,02006501301837,20191016,2019317,03,24,2,N,140885,102278,77014,1,34147,36264.0,38999.0,41116.0,20191117,2019-11-17,2019-07-21,2859,842.7436405
2828,02101301501155019010601,1013,2,11,1,150,1155,190,1060,1501155,1901060,6391.0,3,4239,212,5,271,90,74,2019,4239,212,271,90,74,2019,5129,257,11,55,3,02101301602222,20190821,2019259,05,24,3,B,148355,102278,250,1,16711,23102.0,32466.0,38857.0,20190922,2019-09-22,2019-07-21,2865,2559.1208690000003
2857,02001905112670053126201,0019,2,11,1,511,2670,531,2620,5112670,5312620,5746.0,3,8725,380,4,486,163,134,2019,8725,380,486,163,134,2019,9493,413,8,54,7,02001905310200,20191016,2019345,05,24,2,S,186608,102278,74977,2,5445,11191.0,60774.0,66520.0,20191215,2019-12-15,2019-08-28,2633,2301.2890039999997
2861,02202600200000004002861,2026,2,11,1,20,0,40,286,200000,400286,3615.0,1,1385,69,5,88,42,32,2019,1385,69,88,42,32,2019,949,47,11,55,3,02202600301000,20190806,2019242,05,24,3,B,186611,102278,313,1,0,3615.0,4023.0,7638.0,20190901,2019-09-01,2019-07-21,2637,1444.0693529999999
2871,02012100402431006000001,0121,2,11,1,40,2431,60,0,402431,600000,2888.0,4,10592,544,5,696,200,173,2019,10592,544,696,200,173,2019,5794,298,8,53,5,02012100500600,20190910,2019280,03,24,2,N,143385,102278,179,1,6427,9315.0,6427.0,9315.0,20191013,2019-10-13,2019-08-28,1316,1154.2051900000001
2872,02000803401505037005701,0008,2,11,1,340,1505,370,570,3401505,3700570,7382.0,25,12192,883,7,1130,502,389,2019,12192,883,1130,502,389,2019,17044,1234,8,55,4,02000803603002,20191104,2019345,03,24,2,N,143758,102278,130,1,78142,85524.0,78142.0,85524.0,20191215,2019-12-15,2019-08-28,1317,2975.654196
2894,02H07100200000002019535,H071,2,11,5,20,0,20,1953,200000,201953,1953.0,2,1809,90,5,115,59,45,2019,1809,90,115,59,45,2019,669,33,11,55,3,02H07100200001,20190815,2019261,05,24,3,B,109802,102278,12784,1,2956,4909.0,2956.0,4909.0,20190922,2019-09-22,2019-07-21,288,814.5127534
2910,02300901300000013030861,3009,2,11,1,130,0,130,3086,1300000,1303086,3086.0,6,13693,685,5,877,428,328,2019,13693,685,877,428,328,2019,7997,400,11,55,3,02300901301000,20190708,2019214,05,24,3,B,150375,102278,438,1,28693,31779.0,33845.0,36931.0,20190811,2019-08-11,2019-07-21,335,1227.1873970000001
2923,02305200600000007021511,3052,2,11,1,60,0,70,2151,600000,702151,5107.0,4,3682,74,2,95,19,19,2019,3682,74,95,19,19,2019,3560,72,11,75,1,02305200602640,20190716,2019214,05,24,3,B,149619,102278,495,1,16977,22084.0,16977.0,22084.0,20190811,2019-08-11,2019-11-05,1724,2040.464513
2931,02088500900290011000001,0885,2,11,1,90,290,110,0,900290,1100000,6307.0,6,7483,331,4,424,164,131,2019,7483,331,424,164,131,2019,8942,396,11,55,2,02088501002000,20190725,2019331,05,6,1,N,148348,102278,213,1,19222,25529.0,19222.0,25529.0,20191201,2019-12-01,2019-07-21,1747,2529.766723
2983,02005000912205010111401,0050,2,11,1,91,2205,101,1140,912205,1011140,1425.0,4,17373,992,6,1270,1051,743,2019,17373,992,1270,1051,743,2019,4691,268,10,55,3,02005001011029,20190606,2019200,03,6,1,W,159897,102278,159,2,21942,23367.0,21942.0,23367.0,20191222,2019-12-22,2019-12-22,457,543.1915405
3057,02400300810000010101981,4003,2,11,1,81,0,101,198,810000,1010198,5107.0,6,21318,359,2,460,127,110,2019,21318,359,460,127,110,2019,20615,347,10,55,1,02400300911150,20190814,2019336,03,6,1,S,143562,102278,581,2,22201,27308.0,22201.0,27308.0,20191208,2019-12-08,2019-07-21,967,2051.393238
3158,02005106710000069100001,0051,2,11,1,671,0,691,0,6710000,6910000,394.0,1,7265,644,9,825,509,368,2019,7265,644,825,509,368,2019,545,48,9,65,6,02005106601688,20190829,2019277,03,24,2,S,120550,102278,166,2,0,394.0,112188.0,112582.0,20191006,2019-10-06,2019-07-21,8097,156.9721747
3201,02H21000100000002000005,H210,2,11,5,10,0,20,0,100000,200000,686.0,1,8378,350,4,448,188,149,2019,8378,350,448,188,149,2019,1089,46,8,65,3,02H21000100001,20191028,2019344,05,24,2,B,0,102278,12852,1,0,686.0,0.0,686.0,20191215,2019-12-15,2019-07-21,51310,283.1190083
3247,02203100201467004002321,2031,2,11,1,20,1467,40,232,201467,400232,4851.0,3,12529,626,5,801,389,299,2019,12529,626,801,389,299,2019,11514,575,11,55,3,02203100302500,20190801,2019222,05,24,3,B,124877,102278,318,1,4739,9590.0,4739.0,9590.0,20190814,2019-08-14,2019-07-21,8144,1951.053545
3380,02001906201013065004101,0019,2,11,1,620,1013,650,410,6201013,6500410,8238.0,16,16468,374,2,479,221,167,2019,16468,374,479,221,167,2019,25690,583,10,55,1,02001906401100,20190603,2019200,03,6,1,N,124862,102278,71102,1,73539,81777.0,134835.0,143073.0,20190728,2019-07-28,2019-08-28,9589,3319.690273
3421,02407500100000001004651,4075,2,11,1,10,0,10,465,100000,100465,465.0,1,5165,69,1,88,48,36,2019,5165,69,88,48,36,2019,455,6,11,67,0,02407500100250,20190917,2019303,05,24,2,B,0,102278,85404,1,0,465.0,0.0,465.0,20191105,2019-11-05,2019-07-21,51289,183.6752778
3425,02102802812073028125021,1028,2,11,1,281,2073,281,2502,2812073,2812502,429.0,3,4656,93,2,119,59,45,2019,4656,93,119,59,45,2019,377,8,11,75,1,02102802900100,20190822,2019243,05,24,3,W,166793,102278,274,2,2073,2502.0,2073.0,2502.0,20190901,2019-09-01,2019-07-21,9505,175.4112916
3513,02H70200300000004001055,H702,2,11,5,30,0,40,105,300000,400105,897.0,3,6337,137,2,175,71,57,2019,6337,137,175,71,57,2019,1077,23,13,72,2,02H70200300001,20191021,2019336,03,24,2,B,0,102278,11414,1,1267,2164.0,1267.0,2164.0,20191208,2019-12-08,2019-07-21,51313,357.52956960000006
3538,02100200110000002106971,1002,2,11,1,11,0,21,697,110000,210697,2477.0,1,3976,62,2,79,99,67,2019,3976,62,79,99,67,2019,1865,29,8,62,1,02100200111500,20191112,2019345,05,24,2,W,194465,102278,234,2,0,2477.0,0.0,2477.0,20191215,2019-12-15,2019-11-05,9563,1000.280862
3604,02001906801515068030901,0019,2,11,1,680,1515,680,3090,6801515,6803090,1575.0,19,18146,952,5,1219,719,519,2019,18146,952,1219,719,519,2019,5408,284,8,54,3,02001906802283,20191022,2019331,03,24,2,N,170580,102278,71102,1,90602,92177.0,151898.0,153473.0,20191201,2019-12-01,2019-08-28,8756,631.1313925
